696416170: 9 月 30 日沪深两市成交额突破 2 万亿元，创 2015 年 6 月以来纪录，是否意味着牛市开启？
685639707: 女子遭遇话梅刺客3580 元一斤，商家回应「明码标价，进口果子加古法炮制」，从法律角度如何解读此事？
696473828: A 股连续多日暴涨，这一轮大涨还有多大空间？普通人应该出手抓住这一波机会还是冷静旁观？
668047229: 如何评价陈凯歌执导，朱一龙、辛柏青主演的战争电影《志愿军：存亡之战》？
667935378: 为什么steam日语好评率那么低?
630679966: 为什么林黛玉要吃薛宝钗的醋？
308132033: 第一部《变形金刚》电影为什么那么好看？后来为什么口碑一直下滑?
667401616: 如何改变自己「讨好型人格」的性格？
686385238: 杭州一家长强烈要求取消春秋假，春秋假存在的意义是什么？该不该取消？
696799875: 没有赶上这波股市大涨，市场上还有哪些投资空间？可以抓住哪些机会？
688638731: 董宇辉在直播中称「居里夫人获得诺贝尔文学奖，发现了铀」，犯了哪些常识错误，团队中可能出现了哪些问题？
694976003: 《黑神话：悟空》发售后，制作人冯骥首次接受央视新闻专访，其中聊到了哪些你很有感触的点？
536219191: 为什么感觉生活中几乎没见过mbti中T类型的人？
557523834: 为什么工厂里面的机床大多是绿色？
667971274: 如何评价刘德华、张子枫、屈楚萧主演的犯罪动作片《危机航线》？
665714451: 米哈游前董事长蔡浩宇的开发水平如何？
668142201: 甘肃到新疆很长一段地都是无人区为啥不开发？
363058515: 古代状元被放到六部一般担任什么职位？
22485436: 如何评价富坚义博？
665790183: 男子入职 2 天拒绝周末加班被辞退，耗时 1 年多与公司连打 5 场官司全赢，如何从法律角度解读？
459621987: 《火影忍者》里，为什么飞段被鹿丸干掉乍一看合情合理，细想却感觉很扯？
670097535: 如果每周只上一天班，周末有六天，那会是什么样的生活？
667500807: 哪些小城的秋天别有一番韵味？
58555806: 还有哪些地貌景观中国没有？
682109225: 怎么看待陈楚生在《披荆斩棘》第四季又获得第一名？
674165512: 为什么自从《黑神话：悟空》发售以来，Steam连接丝滑了起来？
690096103: 想知道，如果你遇到领导发火了，你怎么做?
667202781: 韭菜怎么洗才能干净呢？
328599869: 如果一个乐队的所有原始成员都换了，那么这个乐队还是之前的乐队吗？
667898925: 怎么忘掉一个你很爱的人?
