666842441: 网传 Steam 将修改结算政策，首次结款为发售后六个月，此事真实性怎么样？
666448106: 女子替朋友熬药中毒身亡判赔 23 万，法院认为「事实上存在雇佣关系」，如何从法律角度解读？
666829305: 为什么王灵官在《黑神话：悟空》中的设计里，他的头被设计成了一张手？
666831150: 如何看待付鹏称「未来10-15年如果房子不大幅增值，就会变成消费品」？
666835027: 出国旅游你都吃过哪些大亏？
666456206: 博一发现大导存在压论文情况，师兄普遍延毕严重，劝我考虑清楚，这种情况我该不该退学重考？
666795311: 中国古代为何没有公共广场？
666513364: 奥尼尔说经常依赖跳投是无法成为统治级球员的，你的观点是什么呢？
666639816: 如何看待“体育只是第三产业，算不上经济核心支柱，足球也只是其中一部分，没必要过分关注”这一观点？
666857310: 有人说以后的汽车会和手机一样成为消费品，这合理吗？
666843400: 海银财富被立案调查，多人被抓，700 亿元「资金池」爆雷，大部分资金去向不明，具体情况如何？
666872549: 在家呆了几天，家庭环境让人觉得无力生气迷茫，我该怎么办？
666513923: 作为职场小白，如果同事总当众指责你的缺点，你会怎么做呢？
644975800: 我发现身边很多奶奶辈的女性都是短发，出现这一现象的原因是什么？
48849498: 为什么五人组成的乐队最容易成功？
666577220: 你会让上大班的孩子独自下楼去买东西吗？
666786494: 大一新生纯纯内向i人，害怕大学交不到朋友，怎么办？
666649135: 职场新人，到底应该自信高调一点，还是谦卑低调一点？
666887556: 内向的人，在大学独来独往，会被认为孤僻吗？
665684791: 假如清空你一切资源,但是你获得一个可以每天百分之一增长的一千块钱,你愿意吗?
666915522: 无人机导致天津大面积航班延误，具体情况如何？无人机禁飞区域是如何监管的？无人机操控者将承担哪些责任？
666857800: 如何看待国内外各大手机厂商纷纷推出 AI Agent 智能体，方向对了吗？你怎么看？
666837160: 假如能跨时空组局过，你想邀请谁来一起赏月喝「高沟」？
666617617: 你怎么看「没有教不会的学生，只有不会教的老师」这一观点？
666676920: 《黑神话:悟空》中紫蛛儿的前五个女儿是怎么来的？
666878739: 美国8月CPI同比上升2.5%，连续第5个月回落，交易员下调对美联储9月大幅降息的押注，如何解读？
666482809: 《黑神话悟空》里的金箍棒两头都不能握持，更像是双头狼牙棒，而不是棍子，是不是设计的不合理？
663774583: 知乎直答在哪些场景使用能达到事半功倍的效果？
666735728: 为什么「被否定」之后会伤心？
446318545: 《大明王朝1566》，陈洪和黄锦谁更强？
