664090086: 为什么《黑神话：悟空》中四妹的人气如此之高？
665715173: 市监总局督导阿里巴巴集团完成三年整改，全面停止「二选一」垄断行为，对阿里和市场的发展有何影响？
665652331: 如何评价《原神》的5.0流水？
489890918: 你的研究生导师是一个什么样的人？
312913332: 如果你随机穿越到金庸小说里的以下某个反派身上，该如何改变命运？
665557790: 现在电视剧的权谋都很幼稚么?
665594726: 特朗普再度威胁送扎克伯格进监狱，警告称「他的余生都将在监狱中度过」，如何看待特朗普的言论？
664476418: 如何评价《边水往事》中的猜叔？
665639706: 29日离岸、在岸人民币对美元双双升破7.09，发生了什么？你认为人民币对美元汇率年内能破7吗？
658077078: 为什么黄河没有那么黄了，从长远看，变清澈可能会带来哪些影响？
665536397: 如何看待《黑神话：悟空》目前剧情完整，销量达到约 1700 万，且 Steam 好评如潮？
403995759: 《西游记》中，为什么天庭没有追查孙悟空第一个师傅——菩提祖师？
665698275: 如何评价综艺《喜人奇妙夜》第十期？
664612158: 为什么油车搞不定的“智能化”，电车10来年就搞定了？
665704269: 民众党主席柯文哲被带走调查，具体情况如何？他被带走的原因可能是什么？
665595768: 红线一退再退，为何俄罗斯不再提核武器？
665690853: 青岛通报一女司机逆向行驶辱骂殴打他人被「行拘十日罚款一千」，法律对打人的责任都是怎么规定的？
665595556: 以《黑神话：悟空》为例的众多西游记衍生作品都几乎没有沙僧出现，为什么他的存在感这么低呢？
664699933: 对比原著，电视剧《边水往事》的改编如何？
664891666: 开学季，有的孩子没进校园却进了病房，儿童精神科门诊号「掐点秒没」，为什么这代孩子会面对这样的难题？
638406982: 为什么一家医院 还要分成神经一科 二科 三科?
665694975: 如何评价孙颖莎将登上《时尚芭莎》十月刊封面？对此你有什么期待？
653208087: 现阶段，什么样的车是你心目中的好车？
665340417: 如果一个行商王朝发现了艾泽拉斯，他大概需要摇多少人才能把艾泽拉斯打下来？
288000197: 宜修皇后是真的爱皇上吗？
665717043: 如何看待「2024乒乓球亚锦赛中国队名单」，对此有何期待？
665717690: 2024 LPL 夏季总决赛 BLG 3:0 击败 WBG 蝉联联赛总冠军，如何评价这场比赛？
664294974: 如何评价《海贼王》中的贝加庞克？
664279066: 武侠小说中哪些人物的脑回路，现在看来不太能理解？
604736810: 怎样评价孙颖莎?
