520531726: 人大代表建议「将高中生 22 点就寝写入未成年人保护法」，这在实行过程中或将遇到哪些困难？
520516840: 如何看待政协委员建议取消商品房公摊面积？此举会带来哪些影响？
520587102: 如何看待人大代表建议「安乐死合法化」？你是否能接受对绝症患者实施安乐死？
520499614: 民进中央建议鼓励有条件的地区大力推行每周 2.5 天假期，如何看待这一建议？
519663946: 有哪些和舞蹈《只此青绿》一样，让你觉得「这很中国」的瞬间？
520206917: 董明珠连续六次在两会建议「提高个税起征点」，你认为当前的个税起征点需要提高吗？
520595900: 俄罗斯已批准将美国、乌克兰等列入不友好国家和地区名单，这意味着什么？会对第三轮俄乌会谈产生哪些影响？
520121203: 李嘉诚为什么要紧急出售英国资产?
520338752: 全国人大代表张常宁建议体育纳入高中学业水平考试省统考，有哪些积极意义？
520553986: 如何看待人大代表建议「18~45岁近视人群进行激光角膜屈光手术 」？其中有哪些问题值得关注？
520312652: 欧盟官员称只有中方能当俄乌调停人，透露出什么信息？
520337013: 如何看待全国政协委员张俊廷表示「建议第三孩免费上幼儿园」？
519735999: 辩论赛抽到了论证地心说，这怎么打，我自己都不信地心说?
520141880: 如何看待俄乌冲突，俄军被打死近500人，每条命只赔40万人民币呢？
520505294: 全国政协委员霍启刚「建议香港学校重视国歌国旗教育」，这一提案具有哪些积极意义？
520514117: 如何看待政协委员建议成立国家足球领导小组，实行「部队制」管理？这个建议可行吗？
479100983: 给关系好怀孕女同事点外卖，女友生气了，是我错了吗？
41237594: 为什么 AlphaGo 不敢挑战麻将？
520405974: 美国国务卿布林肯承认短暂入境乌克兰，这意味着什么？美国在俄乌冲突中扮演怎样的角色？
519394916: 人大代表贾樟柯建议「体验式学历史」，将博物馆纳入义务教育教学体系，此举具有哪些意义？
520347713: 如何看待全国人大代表雷军建议，制定电子废旧物循环利用整体发展规划，避免废旧手机等设备泄露个人信息？
519180097: 世界最大运输机安-225 被摧毁，以现在的技术条件，为何没能重新生产？
518777377: 北约为什么拒绝俄罗斯加入？
520517067: 用于撤离俄罗斯外交人员的飞机已经离开美国，这释放了什么信号？
520462296: 如何看待2月份京东智能手机销量前20小米上榜11款，小米8gen1机型占总量60%，股票却持续崩盘？
519715598: 亲戚让我自己选零食，他付钱，选完之后觉得我选的多，我一开始选了四五百，然后二三百，请问一下大家的想法？
509790183: 我男朋友非要和我玩《双人成行》，那么大内存我不想安装，他强行给我的小电脑装上了，有问题吗？
520338318: 美国参加抗议活动的卡车司机即将抵达华盛顿，释放了什么信号？
520416414: 婆婆不照顾月子和不出钱应该吗？
520493450: 57级大佬带我打深海龙蜥，若驼龙王，打了好几次都没打过，这正常吗?
520500078: 如果你穿越到电视剧《人世间》中，凭借超前的意识，在长春你能达到什么样的成就？
520442895: 读书真的是唯一的出路吗?读书真的很重要吗？
519918418: 对现工作不满，辞职写小说行吗？
324503144: 怎么详细全面的分析一份财务报表？
520488688: 如何忘掉那个伤害过你的前任？
520341354: 喜欢的前提是漂亮吗？
520153042: 天津积极推进适老金融服务，老人在银行服务中会遇到哪些困难？你认为理想的「金融适老服务」应包含哪些内容？
520540227: 高一下学期努力还来得及吗？怎么补救？
520521936: 可以讲讲从小到大发生在你身上的特别美好的故事吗？
520534904: 如果中考重点高中压线，该去重点高中还是次点的高中？
516601782: 有哪些让你意难平的文案?
520486123: 中考快要到了，以自已的成绩可以考到更好的高中，但是我想留在本地的普高，我该怎么选择?
516707043: 是喜欢更重要还是合适更重要？
520442690: 对现在的生活感到不满，感觉到读大学没有未来怎么办？
520439117: 初中生除了学习其他事情都是没有意义的吗？
520459186: 没有喜欢的事和物，以后该做什么？
520485035: 孤独的一个人能去干什么，玩什么?
520126683: 工作上是成就感重要还是钱重要？
519727919: 如何判断一个人善良与否？
519957621: 台湾一公司停电后程序员用纸笔手写代码，作为一名程序员，你有过哪些神奇的工作经历？
