6031660685: 中方决定对 13 家美国军工企业及 6 名高管采取反制措施，有哪些信息值得关注？
5973008343: 谷歌第二代基础模型Genie登场，如何评价这一模型？
6051892835: 财政部征求意见「拟在政府采购中给予本国产品相对于非本国产品 20% 的价格评审优惠」，会带来哪些影响？
5922385306: 中国海警局回应菲船只故意冲撞中国海警船，表示「由此引发的一切后果由菲方承担」，菲方有何意图？
26193239: 如何评价亚历山大•汉密尔顿？
3624695858: 选择伴侣，相貌、钱财和人品哪个重要？
51460307: 为什么令狐冲被向问天利用还将他当做兄弟？
5467467872: 冬天到了，大家都喜欢哪些简单易学的美食？
5804987306: 现实生活中年轻人离开手机会怎么样？
5854576122: 如何评价2024年12月叠纸游戏《无限暖暖》？
5749637684: 如何评价游戏《中国足球模拟器》？
364147974: 什么事情是你当了老板才知道的？
4915436465: 我们该如何定义女性电影，该用什么视角去欣赏、评价它们？
2880253021: 如何评价「一个优秀的程序员应该能够只用键盘完成工作，因为用鼠标会浪费时间降低效率」的观点?
4753096363: 「开盒」是什么？我们如何有效预防个人信息被「开盒」？
5930604043: 如何看待员工周末不响应工作，老板退群裁员？休息日该不该回工作消息？
5922611016: 你对《绝区零》和麦当劳的联动活动游印象如何？
6000186675: 尹锡悦接受韩国国防部长官金龙显辞呈，提名崔秉赫接任，该提名有何深意？如何看待这一安排？
5544964593: 为什么很多人难以接受真实的自己，总是试图迎合他人的期待，这种心理背后的根源是什么？
730022668: 姚明也不像是能单核夺冠的巨星，为何阿泰斯特坚持说09年季后赛姚明不伤，火箭必定拿09年总冠军?
27365096: 拿走蜂王会对蜂群造成什么影响？
5484298409: 为什么国内头部影响力的心理咨询师基本不接心理咨询了？
653636809: 为什么美军不重视自行榴弹炮的发展？
742879166: 怎样跳出固有的思维模型与惯性？
5392270023: 你认为哪些领域的知识对程序员来说特别重要？
2542102835: 你被家里的宠物质疑过吗？
562161154: 日本少年漫很多都是血统论是不是说明日本人喜欢血统论?
5944996668: 如何评价《崩铁》2.7版本上半星期日卡池流水？
5861691391: 如何评价腾讯混元团队发布并开源的Hunyuan Video，它会是目前最好的开源大视频模型吗？
5969114037: 中国春节申遗成功，有着怎么样的意义？春节在国际上有哪些影响和认知？
